Vize;Final
89;94
96;79
78.33333333;88
85.66666667;79
86.66666667;76
90.66666667;66
70;76
52.66666667;84
61.33333333;75
71;65
77;58
61.66666667;68
81;51
64.66666667;61
80.66666667;49
62.66666667;61
63.66666667;58
71.33333333;52
68.66666667;54
92.33333333;34
74.33333333;47
28.33333333;77
66.66666667;47
63.13333333;49
64.33333333;47
59;45
76.66666667;29
44;52
0;84
52.66666667;40
69.33333333;22
31;50
37;41
59.33333333;24
51;28
41.33333333;34
64.33333333;15
67;11
42.66666667;22
34.33333333;26
68.66666667;0
26.66666667;27
16;34
11.66666667;36
40.66666667;12
50.33333333;0
45;0
41;0
0;18
6;0
0;0
0;0
0;0
0;0
0;0
